"","created_at","iconic_taxon_name","species_guess","scientific_name","common_name","place_guess","image_url","latitude","longitude"
"1","2022-07-26 07:32:56 UTC","Plantae","bottlebrushes","Melaleuca","bottlebrushes","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/217309019/medium.jpeg",0.98470958,34.98124193
"2","2022-08-01 05:24:42 UTC","Plantae","","Asteraceae","sunflowers, daisies, asters, and allies","Grassland, Kenya","https://static.inaturalist.org/photos/219055854/medium.jpeg",0.9975,34.98527778
"3","2022-08-01 18:49:57 UTC","Insecta","Lady Beetles","Coccinellidae","Lady Beetles","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/219945577/medium.jpeg",0.984683333,34.98118889
"4","2022-08-02 13:38:56 UTC","Insecta","Buckeyes & Pansies","Junonia oenone","Dark blue pansy","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/219414811/medium.jpeg",0.9847174,34.9812641
"5","2022-08-03 12:30:56 UTC","Plantae","African tulip tree","Spathodea campanulata","Nandi Flame","Grassland, Kenya","https://static.inaturalist.org/photos/219656408/medium.jpeg",0.990169444,34.976525
"6","2022-08-03 12:32:56 UTC","Plantae","Zinnia","Zinnia","","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/219656703/medium.jpeg",0.98455,34.98084722
"7","2022-08-04 08:33:51 UTC","Insecta","Cabbage Tree Emperor","Bunaea alcinoe","Cabbage Tree Emperor","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/219883043/medium.jpeg",0.984602778,34.98128611
"8","2022-08-04 09:03:22 UTC","Insecta","Géométridés","Geometridae","Geometer Moths","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/219876366/medium.jpeg",0.984525,34.98085
"9","2022-08-04 14:34:00 UTC","Insecta","Mantids","Mantidae","Mantids","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/219921263/medium.jpeg",0.984786111,34.98080278
"10","2022-08-04 14:40:50 UTC","Insecta","Бродяжка рыжая","Pantala flavescens","Wandering Glider","XXJG+F3W, Kitale, Kenya","https://static.inaturalist.org/photos/219922737/medium.jpeg",0.980861111,34.97602778
"11","2022-08-04 16:33:57 UTC","Insecta","pulgón rojo del rosal","Macrosiphum rosae","Rose Aphid","2X9M+RW8, Kitale, Kenya","https://static.inaturalist.org/photos/219946496/medium.jpeg",1.0181496,34.9845919
"12","2022-08-05 12:15:47 UTC","Mollusca","Tailwagger Snails","Sheldoniinae","Tailwagger Snails","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/220139671/medium.jpeg",0.984799984,34.98146653
"13","2022-08-07 17:34:21 UTC","Plantae","hibiscuses","Hibiscus","hibiscuses","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/220738173/medium.jpeg",0.984741667,34.98134444
"14","2022-08-07 17:38:45 UTC","Insecta","Skimmers","Libellulidae","Skimmers","XXJG+F3W, Kitale, Kenya","https://static.inaturalist.org/photos/220739379/medium.jpeg",0.980955556,34.97598333
"15","2022-08-08 05:54:37 UTC","Mollusca","Gastropods","Gastropoda","Gastropods","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/220907018/medium.jpeg",0.984594444,34.98095556
"16","2022-08-08 06:06:38 UTC","Plantae","Verbesina crocata","Verbesina crocata","","Grassland, Kenya","https://static.inaturalist.org/photos/220908192/medium.jpeg",0.996452778,34.984675
"17","2022-08-11 09:31:57 UTC","Insecta","Emperor, Royal, Moon, and Giant Silk Moths","Saturniidae","Emperor and Giant Silk Moths","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/221671516/medium.jpeg",0.984625,34.98153333
"18","2022-08-11 10:06:58 UTC","Plantae","morning-glories","Ipomoea","morning-glories","Kitale","https://static.inaturalist.org/photos/221675052/medium.jpeg",1.019294621,35.00230461
"19","2022-08-13 18:55:28 UTC","Aves","Typical Weavers","Ploceus","Typical Weavers","Kakamega - Kitale Rd, Kitale, Kenya","",0.984595,34.981742
"20","2022-08-13 19:09:21 UTC","Mollusca","Tailwagger Snails","Sheldoniinae","Tailwagger Snails","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/222253080/medium.jpeg",0.984783333,34.98145556
"21","2022-08-14 15:23:59 UTC","Insecta","Plant Bugs","Miridae","Plant Bugs","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/222479396/medium.jpeg",0.984444444,34.980725
"22","2022-08-17 13:11:45 UTC","Fungi","flowerpot parasol","Leucocoprinus birnbaumii","flowerpot parasol","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/223225244/medium.jpeg",0.984597222,34.98155278
"23","2022-08-17 13:11:55 UTC","Plantae","ticktrefoils","Desmodium","ticktrefoils","XXJJ+R4, Kitale, Kenya","https://static.inaturalist.org/photos/223225284/medium.jpeg",0.984475,34.98067222
"24","2022-08-18 08:09:42 UTC","Plantae","Dahlia pinnata","Dahlia pinnata","Garden Dahlia","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/223433729/medium.jpeg",0.984658333,34.98124444
"25","2022-08-18 09:47:14 UTC","Plantae","Coffees","Coffea","Coffees","Grassland, Kenya","https://static.inaturalist.org/photos/223443233/medium.jpeg",0.985016667,34.98103333
"26","2022-08-18 13:19:57 UTC","Mollusca","Tailwagger Snails","Sheldoniinae","Tailwagger Snails","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/223470165/medium.jpeg",0.984580556,34.98093333
"27","2022-08-18 16:07:31 UTC","Aves","","Passer rufocinctus","Kenya Rufous Sparrow","Mak Asembo St, Saboti, Kitale, Kenya","",1.0124812,35.0022466
"28","2022-08-19 08:15:13 UTC","Plantae","Polypodiales","Polypodiales","","Grassland, Kenya","https://static.inaturalist.org/photos/223665727/medium.jpeg",0.985008333,34.98078889
"29","2022-08-19 09:49:09 UTC","Fungi","Common Gilled Mushrooms and Allies","Agaricales","Common Gilled Mushrooms and Allies","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/223674206/medium.jpeg",0.984744444,34.98149167
"30","2022-08-22 11:50:34 UTC","Plantae","brakes","Pteris","brakes","Grassland, Kenya","https://static.inaturalist.org/photos/224558696/medium.jpeg",0.984983333,34.98085833
"31","2022-08-23 14:03:31 UTC","Plantae","Queensland silver wattle","Acacia podalyriifolia","Queensland silver wattle","Grassland, Kenya","https://static.inaturalist.org/photos/224739458/medium.jpeg",0.997961111,34.98498056
"32","2022-08-23 18:20:45 UTC","Plantae","Snake Plant","Sansevieria trifasciata","Snake Plant","Grassland, Kenya","https://static.inaturalist.org/photos/224796744/medium.jpeg",0.9976,34.985025
"33","2022-08-23 18:22:38 UTC","Plantae","Woolly Plectranthus","Coleus barbatus","Woolly Plectranthus","Grassland, Kenya","https://static.inaturalist.org/photos/224797145/medium.jpeg",0.996469444,34.98468056
"34","2022-08-23 18:23:10 UTC","Plantae","硬骨凌霄族(黃鐘花族)","Tecomeae","","Grassland, Kenya","https://static.inaturalist.org/photos/224797274/medium.jpeg",0.997961111,34.98498056
"35","2022-08-23 18:23:48 UTC","Plantae","Spleenworts","Asplenium","Spleenworts","Grassland, Kenya","https://static.inaturalist.org/photos/224797459/medium.jpeg",0.996333333,34.984625
"36","2022-08-24 20:48:54 UTC","Amphibia","Guttural Toad","Sclerophrys gutturalis","Guttural Toad","XXMJ+2WF, Kitale, Kenya","https://static.inaturalist.org/photos/225072592/medium.jpeg",0.984705556,34.98131944
"37","2022-09-05 11:58:17 UTC","Insecta","Chrysops callidus","Chrysops callidus","","kitale,Kenya","https://static.inaturalist.org/photos/227868691/medium.jpeg",1.019089,35.002305
"38","2022-09-06 12:49:19 UTC","Plantae","Дводольні","Magnoliopsida","dicots","XXJG+F3W, Kitale, Kenya","https://static.inaturalist.org/photos/228156833/medium.jpeg",0.980977778,34.97604167
"39","2022-09-07 12:20:46 UTC","Insecta","Eurycorypha","Eurycorypha","Ant-mimicking Bushcrickets","Grassland, Kenya","https://static.inaturalist.org/photos/228389687/medium.jpeg",0.985016667,34.98100556
